GEOID,county,median_income,pct_enrolled,pct_bachelor,broadband_total,median_age,pct_white,median_income_k
01001,"Autauga County, Alabama",69841,26,90.3,22523,39.2,1.8,69.841
01003,"Baldwin County, Alabama",75019,24.3,91.7,94642,43.7,3,75.019
01005,"Barbour County, Alabama",44290,23.6,77.8,9080,40.7,4.1,44.29
01007,"Bibb County, Alabama",51215,22.2,80.3,7571,41.3,1.6,51.215
01009,"Blount County, Alabama",61096,25.2,82.7,21977,40.9,9.2,61.096
01011,"Bullock County, Alabama",36723,20.2,74,3453,40.4,3.2,36.723
01013,"Butler County, Alabama",44881,21.6,87.6,7262,42.2,1.3,44.881
01015,"Calhoun County, Alabama",55826,21,86.1,45125,39,3,55.826
01017,"Chambers County, Alabama",49295,22.6,83.6,13419,41.5,1.7,49.295
01019,"Cherokee County, Alabama",50769,23.9,83.9,10477,47.4,1.4,50.769
01021,"Chilton County, Alabama",61873,23,84.2,17554,39.5,8.5,61.873
01023,"Choctaw County, Alabama",44483,24.8,84.2,5174,47,0,44.483
01025,"Clarke County, Alabama",49167,23,85.3,8452,42.5,0.6,49.167
01027,"Clay County, Alabama",51852,22.2,82.8,5765,43.8,2.4,51.852
01029,"Cleburne County, Alabama",53319,22.6,85.4,5849,42.3,1.5,53.319
01031,"Coffee County, Alabama",64672,24.1,86,20860,38.8,4.7,64.672
01033,"Colbert County, Alabama",56736,20.8,87.5,24217,42.3,2.5,56.736
01035,"Conecuh County, Alabama",42266,22.4,87.5,4528,46.3,0.2,42.266
01037,"Coosa County, Alabama",57063,29.5,82.8,4201,50.3,0.3,57.063
01039,"Covington County, Alabama",50886,27.7,86.2,14495,42.8,1,50.886
01041,"Crenshaw County, Alabama",49040,22,82.6,5075,42.4,1.5,49.04
01043,"Cullman County, Alabama",60916,23.3,85,34543,41.1,3.9,60.916
01045,"Dale County, Alabama",53955,22.3,85.7,19769,38,4.1,53.955
01047,"Dallas County, Alabama",36810,26.5,87.1,15416,40.3,0.5,36.81
01049,"DeKalb County, Alabama",51149,25.7,78.9,25946,39.6,8.7,51.149
01051,"Elmore County, Alabama",75553,24,89.6,32529,38.9,2.2,75.553
01053,"Escambia County, Alabama",44447,28.9,82.5,12781,40.5,1.3,44.447
01055,"Etowah County, Alabama",53070,23.8,85.8,39160,41.8,2.5,53.07
01057,"Fayette County, Alabama",50733,30.2,85.2,6051,42.8,1.1,50.733
01059,"Franklin County, Alabama",51493,25.7,79.5,11593,38.6,9.8,51.493
01061,"Geneva County, Alabama",50951,21.3,83.2,10550,44,4,50.951
01063,"Greene County, Alabama",31495,21.5,82,3037,44.4,0.7,31.495
01065,"Hale County, Alabama",41325,25.3,81.9,5541,41,0.7,41.325
01067,"Henry County, Alabama",60135,27.7,82.2,6684,45,1.3,60.135
01069,"Houston County, Alabama",57531,22,87.4,42581,40.3,2.5,57.531
01071,"Jackson County, Alabama",49454,25.3,82.1,21186,43.4,1.8,49.454
01073,"Jefferson County, Alabama",64589,20.7,91,268911,37.8,3.2,64.589
01075,"Lamar County, Alabama",47447,25.1,83.9,4987,44.5,0.7,47.447
01077,"Lauderdale County, Alabama",59082,18.9,89.3,38777,40.7,2.4,59.082
01079,"Lawrence County, Alabama",60040,24.1,84.6,13145,42.8,1.7,60.04
01081,"Lee County, Alabama",61123,15.3,91.4,67944,33.6,2.2,61.123
01083,"Limestone County, Alabama",83534,24.4,87.6,40021,40.5,4.6,83.534
01085,"Lowndes County, Alabama",35160,27.3,83.2,4161,42.7,0.1,35.16
01087,"Macon County, Alabama",45951,13.8,84.2,7151,37.8,1.1,45.951
01089,"Madison County, Alabama",83528,19.7,92.6,162469,38.2,3.4,83.528
01091,"Marengo County, Alabama",44205,22.5,85.6,7615,41.1,1.8,44.205
01093,"Marion County, Alabama",50714,26.7,82.1,10874,43.8,2.5,50.714
01095,"Marshall County, Alabama",60946,25.5,84.4,35963,38.6,9.2,60.946
01097,"Mobile County, Alabama",58119,22.5,89,160507,38.4,1.3,58.119
01099,"Monroe County, Alabama",40225,25.9,83.6,7396,43.9,0.1,40.225
01101,"Montgomery County, Alabama",58153,19.8,88.8,90785,36.9,2.5,58.153
01103,"Morgan County, Alabama",64858,23.5,85.1,48752,40.3,6.8,64.858
01105,"Perry County, Alabama",34368,16.5,82.2,3195,42.5,0.1,34.368
01107,"Pickens County, Alabama",47014,19.2,83.9,6946,42.5,2.4,47.014
01109,"Pike County, Alabama",47961,11.8,87.6,12605,31.7,1.7,47.961
01111,"Randolph County, Alabama",51551,27.5,83.6,9127,44,2.2,51.551
01113,"Russell County, Alabama",50046,20.9,85.8,23784,37.2,1.4,50.046
01115,"St. Clair County, Alabama",78993,25.5,87.6,34477,41,1.5,78.993
01117,"Shelby County, Alabama",93543,24.1,94,85414,40,4.2,93.543
01119,"Sumter County, Alabama",37981,10.9,88,4765,34.9,0.2,37.981
01121,"Talladega County, Alabama",56249,24,84.5,32889,42.2,1.3,56.249
01123,"Tallapoosa County, Alabama",57185,25.3,83.8,16548,45.4,1.9,57.185
01125,"Tuscaloosa County, Alabama",63947,14.5,90.9,87289,33,2.9,63.947
01127,"Walker County, Alabama",54509,23,82.9,24843,41.3,2.1,54.509
01129,"Washington County, Alabama",60503,28.1,88.7,5678,44.1,1.7,60.503
01131,"Wilcox County, Alabama",42236,33.4,77.9,3693,42,0,42.236
01133,"Winston County, Alabama",48032,25.6,78.8,9328,45.3,1.4,48.032
02013,"Aleutians East Borough, Alaska",72692,23,83.9,998,41.8,7.7,72.692
02016,"Aleutians West Census Area, Alaska",107344,27.8,90.5,977,39.1,11.1,107.344
02020,"Anchorage Municipality, Alaska",98152,21.4,94,107868,34.9,4.2,98.152
02050,"Bethel Census Area, Alaska",70616,27.8,81.9,4661,28.7,0.8,70.616
02060,"Bristol Bay Borough, Alaska",100625,21.2,95,283,39.3,2.8,100.625
02063,"Chugach Census Area, Alaska",88565,21,95.7,2679,38.4,4.8,88.565
02066,"Copper River Census Area, Alaska",75053,25.4,91,1146,45.5,3,75.053
